current_month,current_day,current_year,delivery_month,delivery_year,futures_price
Nov,18,2022,Nov,2022,61.32
Nov,18,2022,Dec,2022,156.6
Nov,21,2022,Dec,2022,178.3
Nov,22,2022,Dec,2022,182.5
Nov,23,2022,Dec,2022,190.75
Nov,24,2022,Dec,2022,190.75
Nov,25,2022,Dec,2022,183.8
Nov,28,2022,Dec,2022,178.62
Nov,29,2022,Dec,2022,179.62
Nov,30,2022,Dec,2022,169.32
Nov,18,2022,Jan,2023,255.68
Nov,21,2022,Jan,2023,291.62
Nov,22,2022,Jan,2023,290.9
Nov,23,2022,Jan,2023,298.85
Nov,24,2022,Jan,2023,298.85
Nov,25,2022,Jan,2023,292.32
Nov,28,2022,Jan,2023,288.7
Nov,29,2022,Jan,2023,293.38
Nov,30,2022,Jan,2023,298.85
Dec,1,2022,Jan,2023,308.48
Dec,2,2022,Jan,2023,296.35
Dec,5,2022,Jan,2023,264.92
Dec,6,2022,Jan,2023,244.2
Dec,7,2022,Jan,2023,254.88
Dec,8,2022,Jan,2023,259.2
Dec,9,2022,Jan,2023,256.08
Dec,12,2022,Jan,2023,253.1
Dec,13,2022,Jan,2023,264.1
Dec,14,2022,Jan,2023,249.05
Dec,15,2022,Jan,2023,253.35
Dec,16,2022,Jan,2023,240
Dec,19,2022,Jan,2023,205.07
Dec,20,2022,Jan,2023,193.35
Dec,21,2022,Jan,2023,189.72
Dec,22,2022,Jan,2023,180.98
Dec,23,2022,Jan,2023,179.2
Dec,27,2022,Jan,2023,189.55
Dec,28,2022,Jan,2023,176.43
Dec,29,2022,Jan,2023,165.62
Dec,30,2022,Jan,2023,161.15
Nov,18,2022,Feb,2023,244.8
Nov,21,2022,Feb,2023,274.78
Nov,22,2022,Feb,2023,278.3
Nov,23,2022,Feb,2023,283.9
Nov,24,2022,Feb,2023,283.9
Nov,25,2022,Feb,2023,279.4
Nov,28,2022,Feb,2023,277.38
Nov,29,2022,Feb,2023,279.08
Nov,30,2022,Feb,2023,286
Dec,1,2022,Feb,2023,286.28
Dec,2,2022,Feb,2023,278.8
Dec,5,2022,Feb,2023,254.12
Dec,6,2022,Feb,2023,238.43
Dec,7,2022,Feb,2023,243.88
Dec,8,2022,Feb,2023,247.2
Dec,9,2022,Feb,2023,244.05
Dec,12,2022,Feb,2023,237.52
Dec,13,2022,Feb,2023,246.35
Dec,14,2022,Feb,2023,231.7
Dec,15,2022,Feb,2023,242.8
Dec,16,2022,Feb,2023,228.5
Dec,19,2022,Feb,2023,203.82
Dec,20,2022,Feb,2023,196.75
Dec,21,2022,Feb,2023,193.73
Dec,22,2022,Feb,2023,186.18
Dec,23,2022,Feb,2023,186.05
Dec,27,2022,Feb,2023,196.45
Dec,28,2022,Feb,2023,192.45
Dec,29,2022,Feb,2023,185.62
Dec,30,2022,Feb,2023,181.82
Jan,2,2023,Feb,2023,181.82
Jan,3,2023,Feb,2023,155.9
Jan,4,2023,Feb,2023,153.5
Jan,5,2023,Feb,2023,142.25
Jan,6,2023,Feb,2023,142.18
Jan,9,2023,Feb,2023,141.85
Jan,10,2023,Feb,2023,135
Jan,11,2023,Feb,2023,135.5
Jan,12,2023,Feb,2023,142.22
Jan,13,2023,Feb,2023,128.05
Jan,16,2023,Feb,2023,128.05
Jan,17,2023,Feb,2023,130.15
Jan,18,2023,Feb,2023,120.45
Jan,19,2023,Feb,2023,112.32
Jan,20,2023,Feb,2023,110.53
Jan,23,2023,Feb,2023,116.72
Jan,24,2023,Feb,2023,109.93
Jan,25,2023,Feb,2023,101.65
Jan,26,2023,Feb,2023,89.55
Jan,27,2023,Feb,2023,97.03
Jan,30,2023,Feb,2023,94.85
Jan,31,2023,Feb,2023,91
Nov,18,2022,Mar,2023,140.6
Nov,21,2022,Mar,2023,159.3
Nov,22,2022,Mar,2023,159.23
Nov,23,2022,Mar,2023,168.95
Nov,24,2022,Mar,2023,168.95
Nov,25,2022,Mar,2023,166.55
Nov,28,2022,Mar,2023,165.75
Nov,29,2022,Mar,2023,165.57
Nov,30,2022,Mar,2023,165.25
Dec,1,2022,Mar,2023,164.98
Dec,2,2022,Mar,2023,158.25
Dec,5,2022,Mar,2023,144.8
Dec,6,2022,Mar,2023,136.3
Dec,7,2022,Mar,2023,138.57
Dec,8,2022,Mar,2023,140.1
Dec,9,2022,Mar,2023,140.5
Dec,12,2022,Mar,2023,143
Dec,13,2022,Mar,2023,149.05
Dec,14,2022,Mar,2023,139
Dec,15,2022,Mar,2023,142.82
Dec,16,2022,Mar,2023,139.25
Dec,19,2022,Mar,2023,128.95
Dec,20,2022,Mar,2023,121.9
Dec,21,2022,Mar,2023,119.38
Dec,22,2022,Mar,2023,115.38
Dec,23,2022,Mar,2023,114.33
Dec,27,2022,Mar,2023,115.08
Dec,28,2022,Mar,2023,105.35
Dec,29,2022,Mar,2023,105.15
Dec,30,2022,Mar,2023,105
Jan,2,2023,Mar,2023,105
Jan,3,2023,Mar,2023,93.9
Jan,4,2023,Mar,2023,92.25
Jan,5,2023,Mar,2023,85.22
Jan,6,2023,Mar,2023,84.17
Jan,9,2023,Mar,2023,84.78
Jan,10,2023,Mar,2023,80.55
Jan,11,2023,Mar,2023,80.22
Jan,12,2023,Mar,2023,80.85
Jan,13,2023,Mar,2023,77.3
Jan,16,2023,Mar,2023,77.3
Jan,17,2023,Mar,2023,77.58
Jan,18,2023,Mar,2023,71
Jan,19,2023,Mar,2023,66.78
Jan,20,2023,Mar,2023,64.97
Jan,23,2023,Mar,2023,66.38
Jan,24,2023,Mar,2023,63.42
Jan,25,2023,Mar,2023,59
Jan,26,2023,Mar,2023,56.33
Jan,27,2023,Mar,2023,57.88
Jan,30,2023,Mar,2023,57.2
Jan,31,2023,Mar,2023,56.6
Feb,1,2023,Mar,2023,51.33
Feb,2,2023,Mar,2023,52.8
Feb,3,2023,Mar,2023,52.92
Feb,6,2023,Mar,2023,52.75
Feb,7,2023,Mar,2023,53.5
Feb,8,2023,Mar,2023,51.02
Feb,9,2023,Mar,2023,49.9
Feb,10,2023,Mar,2023,54.25
Feb,13,2023,Mar,2023,53.33
Feb,14,2023,Mar,2023,55.65
Feb,15,2023,Mar,2023,55.9
Feb,16,2023,Mar,2023,55.4
Feb,17,2023,Mar,2023,54.45
Feb,20,2023,Mar,2023,54.45
Feb,21,2023,Mar,2023,50.58
Feb,22,2023,Mar,2023,51.3
Feb,23,2023,Mar,2023,52.17
Feb,24,2023,Mar,2023,57.17
Feb,27,2023,Mar,2023,61.38
Feb,28,2023,Mar,2023,60.45
Nov,18,2022,Apr,2023,70.62
Nov,21,2022,Apr,2023,78.58
Nov,22,2022,Apr,2023,82.88
Nov,23,2022,Apr,2023,85.53
Nov,24,2022,Apr,2023,85.53
Nov,25,2022,Apr,2023,84.97
Nov,28,2022,Apr,2023,86.05
Nov,29,2022,Apr,2023,88.08
Nov,30,2022,Apr,2023,87.45
Dec,1,2022,Apr,2023,87.5
Dec,2,2022,Apr,2023,87.97
Dec,5,2022,Apr,2023,80.9
Dec,6,2022,Apr,2023,71.3
Dec,7,2022,Apr,2023,72.9
Dec,8,2022,Apr,2023,73.25
Dec,9,2022,Apr,2023,76.47
Dec,12,2022,Apr,2023,77.42
Dec,13,2022,Apr,2023,80.12
Dec,14,2022,Apr,2023,76.53
Dec,15,2022,Apr,2023,78.3
Dec,16,2022,Apr,2023,78.1
Dec,19,2022,Apr,2023,75.03
Dec,20,2022,Apr,2023,71.85
Dec,21,2022,Apr,2023,71.35
Dec,22,2022,Apr,2023,69.4
Dec,23,2022,Apr,2023,68.55
Dec,27,2022,Apr,2023,68.78
Dec,28,2022,Apr,2023,67.42
Dec,29,2022,Apr,2023,66.85
Dec,30,2022,Apr,2023,65.78
Jan,2,2023,Apr,2023,65.78
Jan,3,2023,Apr,2023,61.3
Jan,4,2023,Apr,2023,61.12
Jan,5,2023,Apr,2023,55.83
Jan,6,2023,Apr,2023,54.17
Jan,9,2023,Apr,2023,54.4
Jan,10,2023,Apr,2023,51.48
Jan,11,2023,Apr,2023,50.6
Jan,12,2023,Apr,2023,51.05
Jan,13,2023,Apr,2023,49.78
Jan,16,2023,Apr,2023,49.78
Jan,17,2023,Apr,2023,49.83
Jan,18,2023,Apr,2023,47.85
Jan,19,2023,Apr,2023,47.23
Jan,20,2023,Apr,2023,46.7
Jan,23,2023,Apr,2023,46.88
Jan,24,2023,Apr,2023,46.5
Jan,25,2023,Apr,2023,45.09
Jan,26,2023,Apr,2023,42.9
Jan,27,2023,Apr,2023,43.8
Jan,30,2023,Apr,2023,42.75
Jan,31,2023,Apr,2023,42.67
Feb,1,2023,Apr,2023,40.73
Feb,2,2023,Apr,2023,40.98
Feb,3,2023,Apr,2023,40.2
Feb,6,2023,Apr,2023,40.5
Feb,7,2023,Apr,2023,41.4
Feb,8,2023,Apr,2023,40.12
Feb,9,2023,Apr,2023,40.08
Feb,10,2023,Apr,2023,41.3
Feb,13,2023,Apr,2023,40.72
Feb,14,2023,Apr,2023,41.55
Feb,15,2023,Apr,2023,41.38
Feb,16,2023,Apr,2023,40.6
Feb,17,2023,Apr,2023,39.38
Feb,20,2023,Apr,2023,39.38
Feb,21,2023,Apr,2023,37.35
Feb,22,2023,Apr,2023,37.42
Feb,23,2023,Apr,2023,37.6
Feb,24,2023,Apr,2023,39.08
Feb,27,2023,Apr,2023,40.12
Feb,28,2023,Apr,2023,39.8
Mar,1,2023,Apr,2023,39.08
Mar,2,2023,Apr,2023,41.2
Mar,3,2023,Apr,2023,45
Mar,6,2023,Apr,2023,42.3
Mar,7,2023,Apr,2023,42.4
Mar,8,2023,Apr,2023,41.12
Mar,9,2023,Apr,2023,40.2
Mar,10,2023,Apr,2023,39
Mar,13,2023,Apr,2023,39.4
Mar,14,2023,Apr,2023,38.62
Mar,15,2023,Apr,2023,37.75
Mar,16,2023,Apr,2023,39.33
Mar,17,2023,Apr,2023,37.6
Mar,20,2023,Apr,2023,36.27
Mar,21,2023,Apr,2023,36.1
Mar,22,2023,Apr,2023,34.65
Mar,23,2023,Apr,2023,34.15
Mar,24,2023,Apr,2023,34.45
Mar,27,2023,Apr,2023,34.02
Mar,28,2023,Apr,2023,33.23
Mar,29,2023,Apr,2023,33.45
Mar,30,2023,Apr,2023,32.45
Mar,31,2023,Apr,2023,33.4
Nov,18,2022,May,2023,51.77
Nov,21,2022,May,2023,54.62
Nov,22,2022,May,2023,54.92
Nov,23,2022,May,2023,56.02
Nov,24,2022,May,2023,56.02
Nov,25,2022,May,2023,55.7
Nov,28,2022,May,2023,56.83
Nov,29,2022,May,2023,58.67
Nov,30,2022,May,2023,58.25
Dec,1,2022,May,2023,57.98
Dec,2,2022,May,2023,57.92
Dec,5,2022,May,2023,54.25
Dec,6,2022,May,2023,52.2
Dec,7,2022,May,2023,50.6
Dec,8,2022,May,2023,50.75
Dec,9,2022,May,2023,50.85
Dec,12,2022,May,2023,52.02
Dec,13,2022,May,2023,57.73
Dec,14,2022,May,2023,56.17
Dec,15,2022,May,2023,57.73
Dec,16,2022,May,2023,57.75
Dec,19,2022,May,2023,55.45
Dec,20,2022,May,2023,53.15
Dec,21,2022,May,2023,52.45
Dec,22,2022,May,2023,51.2
Dec,23,2022,May,2023,50.62
Dec,27,2022,May,2023,52.17
Dec,28,2022,May,2023,51.58
Dec,29,2022,May,2023,51.08
Dec,30,2022,May,2023,50.35
Jan,2,2023,May,2023,50.35
Jan,3,2023,May,2023,45.52
Jan,4,2023,May,2023,44.65
Jan,5,2023,May,2023,40.62
Jan,6,2023,May,2023,39.55
Jan,9,2023,May,2023,39.55
Jan,10,2023,May,2023,37.85
Jan,11,2023,May,2023,37.45
Jan,12,2023,May,2023,37.97
Jan,13,2023,May,2023,37.23
Jan,16,2023,May,2023,37.23
Jan,17,2023,May,2023,37.48
Jan,18,2023,May,2023,36.58
Jan,19,2023,May,2023,36.92
Jan,20,2023,May,2023,37.52
Jan,23,2023,May,2023,38.55
Jan,24,2023,May,2023,37.77
Jan,25,2023,May,2023,36
Jan,26,2023,May,2023,34.67
Jan,27,2023,May,2023,35
Jan,30,2023,May,2023,34.17
Jan,31,2023,May,2023,34.33
Feb,1,2023,May,2023,33.08
Feb,2,2023,May,2023,32.95
Feb,3,2023,May,2023,32.38
Feb,6,2023,May,2023,32.23
Feb,7,2023,May,2023,32.65
Feb,8,2023,May,2023,32.23
Feb,9,2023,May,2023,32.38
Feb,10,2023,May,2023,33.33
Feb,13,2023,May,2023,32.55
Feb,14,2023,May,2023,33.5
Feb,15,2023,May,2023,33.6
Feb,16,2023,May,2023,33.05
Feb,17,2023,May,2023,32.4
Feb,20,2023,May,2023,32.4
Feb,21,2023,May,2023,31
Feb,22,2023,May,2023,31.42
Feb,23,2023,May,2023,32.03
Feb,24,2023,May,2023,33.12
Feb,27,2023,May,2023,34.02
Feb,28,2023,May,2023,33.7
Mar,1,2023,May,2023,33.33
Mar,2,2023,May,2023,34.55
Mar,3,2023,May,2023,37
Mar,6,2023,May,2023,34.83
Mar,7,2023,May,2023,35.27
Mar,8,2023,May,2023,34.15
Mar,9,2023,May,2023,33.78
Mar,10,2023,May,2023,33.22
Mar,13,2023,May,2023,33.35
Mar,14,2023,May,2023,33.4
Mar,15,2023,May,2023,32.73
Mar,16,2023,May,2023,33.2
Mar,17,2023,May,2023,31.92
Mar,20,2023,May,2023,31.22
Mar,21,2023,May,2023,31.35
Mar,22,2023,May,2023,30.1
Mar,23,2023,May,2023,29.82
Mar,24,2023,May,2023,30.1
Mar,27,2023,May,2023,28.83
Mar,28,2023,May,2023,28.58
Mar,29,2023,May,2023,28.7
Mar,30,2023,May,2023,28.27
Mar,31,2023,May,2023,28.95
Apr,3,2023,May,2023,28.52
Apr,4,2023,May,2023,29.35
Apr,5,2023,May,2023,28.85
Apr,6,2023,May,2023,27.82
Apr,10,2023,May,2023,28.33
Apr,11,2023,May,2023,27.4
Apr,12,2023,May,2023,26.5
Apr,13,2023,May,2023,26.55
Apr,14,2023,May,2023,27
Apr,17,2023,May,2023,29.2
Apr,18,2023,May,2023,31.15
Apr,19,2023,May,2023,30.22
Apr,20,2023,May,2023,29.9
Apr,21,2023,May,2023,29.55
Apr,24,2023,May,2023,29.38
Apr,25,2023,May,2023,28.5
Apr,26,2023,May,2023,27.12
Apr,27,2023,May,2023,27.32
Apr,28,2023,May,2023,27.94
Nov,18,2022,Jun,2023,54.27
Nov,21,2022,Jun,2023,56.27
Nov,22,2022,Jun,2023,56.98
Nov,23,2022,Jun,2023,57.98
Nov,24,2022,Jun,2023,57.98
Nov,25,2022,Jun,2023,57.92
Nov,28,2022,Jun,2023,57.85
Nov,29,2022,Jun,2023,60.08
Nov,30,2022,Jun,2023,60.05
Dec,1,2022,Jun,2023,60.05
