month,year,settled_avg_da_lmp
Jan,2013,86.53
Jan,2014,168.81
Jan,2015,71.14
Jan,2016,38.6
Jan,2017,40.3
Jan,2018,108.75
Jan,2019,56.760000000000005
Jan,2020,26.45
Jan,2021,42.730000000000004
Jan,2022,149.46
Jan,2023,49.14
Jan,2024,70.46000000000001
Jan,2025,133.62
Jan,2026,179.5
Feb,2013,122.31
Feb,2014,156.02
Feb,2015,122.77
Feb,2016,29.9
Feb,2017,30.02
Feb,2018,39.58
Feb,2019,35.620000000000005
Feb,2020,23.06
Feb,2021,73.11999999999999
Feb,2022,117.08
Feb,2023,69.35
Feb,2024,36.61
Feb,2025,130.52
Feb,2026,126.22
Mar,2013,53.09
Mar,2014,111.16
Mar,2015,64.25
Mar,2016,20.630000000000003
Mar,2017,35.75
Mar,2018,35.379999999999995
Mar,2019,38.07
Mar,2020,17.18
Mar,2021,34.879999999999995
Mar,2022,66.17999999999999
Mar,2023,35.02
Mar,2024,24.22
Mar,2025,47
Mar,2026,47.01
Apr,2013,42.89
Apr,2014,44.98
Apr,2015,28.43
Apr,2016,28.36
Apr,2017,29.23
Apr,2018,45
Apr,2019,26.97
Apr,2020,18.36
Apr,2021,26.14
Apr,2022,62.37
Apr,2023,28.79
Apr,2024,25.52
Apr,2025,41.42
Apr,2026,46.3
May,2013,40.309999999999995
May,2014,36.949999999999996
May,2015,24.919999999999998
May,2016,21.24
May,2017,27.310000000000002
May,2018,24.04
May,2019,24.21
May,2020,16.479999999999997
May,2021,24.979999999999997
May,2022,76.71000000000001
May,2023,25.03
May,2024,27.23
May,2025,35.230000000000004
May,2026,45.8
Jun,2013,37.09
Jun,2014,37.92
Jun,2015,21.16
Jun,2016,22.610000000000003
Jun,2017,25.479999999999997
Jun,2018,26.82
Jun,2019,22.09
Jun,2020,19.84
Jun,2021,37.1
Jun,2022,68.43
Jun,2023,33.5
Jun,2024,35.14
Jun,2025,43.75
Jun,2026,NA
Jul,2013,52.07
Jul,2014,37.5
Jul,2015,26.439999999999998
Jul,2016,31.12
Jul,2017,27.6
Jul,2018,32.89
Jul,2019,29.779999999999998
Jul,2020,23.779999999999998
Jul,2021,37.160000000000004
Jul,2022,89.85
Jul,2023,42.36
Jul,2024,46.15
Jul,2025,70.31
Jul,2026,NA
Aug,2013,34.720000000000006
Aug,2014,30.35
Aug,2015,30.06
Aug,2016,35.54
Aug,2017,24.9
Aug,2018,39.160000000000004
Aug,2019,25.69
Aug,2020,23.79
Aug,2021,49.47
Aug,2022,99.55
Aug,2023,26.939999999999998
Aug,2024,35.67
Aug,2025,45.61
Aug,2026,NA
Sep,2013,40.43
Sep,2014,34.1
Sep,2015,30.82
Sep,2016,28.62
Sep,2017,23.57
Sep,2018,33.89
Sep,2019,21.14
Sep,2020,20.459999999999997
Sep,2021,48.01
Sep,2022,67.23
Sep,2023,30.29
Sep,2024,32.24
Sep,2025,34.21
Sep,2026,NA
Oct,2013,33.94
Oct,2014,32.190000000000005
Oct,2015,37.01
Oct,2016,21.979999999999997
Oct,2017,29.74
Oct,2018,38.46
Oct,2019,20.75
Oct,2020,24.779999999999998
Oct,2021,57.71
Oct,2022,52.97
Oct,2023,26.310000000000002
Oct,2024,35.96
Oct,2025,40.27
Oct,2026,NA
Nov,2013,45.21
Nov,2014,47.71
Nov,2015,29.419999999999998
Nov,2016,24.979999999999997
Nov,2017,33.98
Nov,2018,57.43
Nov,2019,32.290000000000006
Nov,2020,25.12
Nov,2021,56.690000000000005
Nov,2022,61.720000000000006
Nov,2023,39.660000000000004
Nov,2024,39.51
Nov,2025,59.6
Nov,2026,NA
Dec,2013,92.96000000000001
Dec,2014,43
Dec,2015,22.419999999999998
Dec,2016,53.28
Dec,2017,71.31
Dec,2018,47.309999999999995
Dec,2019,40.98
Dec,2020,40.15
Dec,2021,65.14
Dec,2022,115.5
Dec,2023,38.15
Dec,2024,87.61999999999999
Dec,2025,136.12
Dec,2026,NA
